"Rk.","Team","Season","Pitches_empty","Tempo_empty","TimerEquiv._empty","Fast %_empty","Slow %_empty","Pitches_onBase","Tempo_onBase","TimerEquiv._onBase","Fast %_onBase","Slow %_onBase"
"144"," Angels"," 2013"," 6911"," 16.9"," 10.9"," 31.3%"," 2.4%"," 4310"," 24.1"," 18.1"," 0.7%"," 18.4%"," 
                Compare
            "
"145"," Pirates"," 2016"," 6667"," 16.9"," 10.9"," 34.2%"," 4.4%"," 4398"," 24.0"," 18.0"," 7.9%"," 22.7%"," 
                Compare
            "
"146"," Twins"," 2013"," 7002"," 16.9"," 10.9"," 28.0%"," 1.8%"," 4377"," 23.7"," 17.7"," 0.8%"," 13.5%"," 
                Compare
            "
"147"," Yankees"," 2011"," 6514"," 16.9"," 10.9"," 27.7%"," 1.7%"," 4028"," 22.8"," 16.8"," 1.4%"," 12.4%"," 
                Compare
            "
"148"," Nationals"," 2016"," 7057"," 16.9"," 10.9"," 33.9%"," 3.6%"," 3777"," 24.8"," 18.8"," 5.5%"," 24.5%"," 
                Compare
            "
"149"," Orioles"," 2021"," 6776"," 16.9"," 10.9"," 27.3%"," 1.7%"," 4448"," 22.6"," 16.6"," 0.9%"," 11.2%"," 
                Compare
            "
"150"," Mets"," 2019"," 7026"," 16.9"," 10.9"," 27.7%"," 1.7%"," 4177"," 23.5"," 17.5"," 0.8%"," 14.7%"," 
                Compare
            "
"151"," Orioles"," 2018"," 6901"," 16.9"," 10.9"," 25.9%"," 1.6%"," 4588"," 22.1"," 16.1"," 0.5%"," 8.7%"," 
                Compare
            "
"152"," Rangers"," 2019"," 6985"," 16.9"," 10.9"," 28.8%"," 2.2%"," 4709"," 23.1"," 17.1"," 1.0%"," 13.8%"," 
                Compare
            "
"153"," Tigers"," 2012"," 6759"," 16.9"," 10.9"," 29.5%"," 3.9%"," 3883"," 22.8"," 16.8"," 1.5%"," 17.7%"," 
                Compare
            "
"154"," Tigers"," 2011"," 6957"," 17.0"," 11.0"," 29.6%"," 4.0%"," 4190"," 23.3"," 17.3"," 1.5%"," 17.0%"," 
                Compare
            "
"155"," Mets"," 2015"," 6707"," 17.0"," 11.0"," 34.3%"," 4.2%"," 3550"," 23.9"," 17.9"," 6.0%"," 22.5%"," 
                Compare
            "
"156"," Rockies"," 2022"," 6620"," 17.0"," 11.0"," 28.2%"," 2.4%"," 4313"," 22.8"," 16.8"," 0.3%"," 13.0%"," 
                Compare
            "
